task,alg,solver,status,cpu_s
bvfib_n5_eq5,bmc,bitwuzla,REACHABLE,18.9
bvfib_n5_eq5,bmc,bitwuzla,REACHABLE,21.2
bvfib_n5_eq5,bmc,btor,ERROR,0.5
bvfib_n5_eq5,ic3,bitwuzla,TIMEOUT,300.0
bvfib_n5_eq5,ic3,btor,ERROR,0.5
bvfib_n5_eq5,ic3ia,bitwuzla,ERROR,0.4
bvfib_n5_eq5,ic3ia,btor,ERROR,0.4
bvfib_n5_eq5,ic3ia,msat,TIMEOUT,300.0
bvfib_n5_eq5,ic3,msat,TIMEOUT,300.0
bvfib_n5_eq5,imc,msat,UNKNOWN,1.0
bvfib_n5_eq5,kind,bitwuzla,TIMEOUT,300.0
bvfib_n5_eq5,kind,btor,ERROR,0.5
bvfib_n5_eq6,bmc,bitwuzla,TIMEOUT,300.0
bvfib_n5_eq6,bmc,btor,ERROR,0.5
bvfib_n5_eq6,ic3,bitwuzla,TIMEOUT,300.0
bvfib_n5_eq6,ic3,btor,ERROR,0.5
bvfib_n5_eq6,ic3ia,bitwuzla,ERROR,0.4
bvfib_n5_eq6,ic3ia,btor,ERROR,0.4
bvfib_n5_eq6,ic3ia,msat,UNKNOWN,25.9
bvfib_n5_eq6,ic3,msat,TIMEOUT,300.0
bvfib_n5_eq6,imc,msat,UNKNOWN,6.4
bvfib_n5_eq6,kind,bitwuzla,TIMEOUT,300.0
bvfib_n5_eq6,kind,btor,ERROR,0.5
bvfib_nonneg,bmc,bitwuzla,TIMEOUT,300.0
bvfib_nonneg,bmc,btor,ERROR,0.5
bvfib_nonneg,ic3,bitwuzla,TIMEOUT,300.0
bvfib_nonneg,ic3,btor,ERROR,0.5
bvfib_nonneg,ic3ia,bitwuzla,ERROR,0.4
bvfib_nonneg,ic3ia,btor,ERROR,0.4
bvfib_nonneg,ic3ia,msat,UNKNOWN,7.4
bvfib_nonneg,ic3,msat,TIMEOUT,300.0
bvfib_nonneg,imc,msat,UNKNOWN,4.3
bvfib_nonneg,kind,bitwuzla,TIMEOUT,300.0
bvfib_nonneg,kind,btor,ERROR,0.5
fib_n5_eq5,bmc,msat,REACHABLE,28.1
fib_n5_eq5,ic3ia,msat,UNKNOWN,4.4
fib_n5_eq5,ic3,msat,ERROR,0.5
fib_n5_eq5,ic3,z3,ERROR,0.5
fib_n5_eq5,imc,msat,UNKNOWN,0.5
fib_n5_eq5,kind,msat,REACHABLE,238.3
fib_n5_eq5,pdr,msat,TIMEOUT,300.0
fib_n5_eq5,pdr,z3,TIMEOUT,300.0
fib_n5_eq6,bmc,msat,TIMEOUT,300.0
fib_n5_eq6,ic3ia,msat,UNKNOWN,4.6
fib_n5_eq6,ic3ia,smtinterpol,ERROR,0.4
fib_n5_eq6,ic3,msat,ERROR,0.4
fib_n5_eq6,ic3,z3,ERROR,0.5
fib_n5_eq6,imc,msat,UNKNOWN,0.5
fib_n5_eq6,imc,smtinterpol,UNKNOWN,66.6
fib_n5_eq6,ismc,smtinterpol,UNKNOWN,37.6
fib_n5_eq6,kind,msat,TIMEOUT,300.0
fib_n5_eq6,kind,smtinterpol,TIMEOUT,300.0
fib_n5_eq6,pdr,msat,TIMEOUT,300.0
fib_n5_eq6,pdr,z3,TIMEOUT,300.0
fib_nonneg,bmc,msat,TIMEOUT,300.0
fib_nonneg,ic3ia,msat,UNKNOWN,0.6
fib_nonneg,ic3ia,smtinterpol,ERROR,0.4
fib_nonneg,ic3,msat,ERROR,0.5
fib_nonneg,ic3,z3,ERROR,0.5
fib_nonneg,imc,msat,UNKNOWN,0.5
fib_nonneg,imc,smtinterpol,TIMEOUT,300.0
fib_nonneg,ismc,smtinterpol,UNKNOWN,85.0
fib_nonneg,kind,msat,TIMEOUT,300.0
fib_nonneg,kind,smtinterpol,TIMEOUT,300.0
fib_nonneg,pdr,msat,TIMEOUT,300.0
fib_nonneg,pdr,z3,TIMEOUT,300.0
mc91_any,bmc,msat,TIMEOUT,300.0
mc91_any,ic3ia,msat,UNKNOWN,55.0
mc91_any,ic3ia,smtinterpol,ERROR,0.4
mc91_any,ic3,msat,ERROR,0.4
mc91_any,ic3,z3,ERROR,0.4
mc91_any,imc,msat,UNKNOWN,0.5
mc91_any,imc,smtinterpol,TIMEOUT,300.0
mc91_any,ismc,smtinterpol,UNKNOWN,106.6
mc91_any,kind,msat,TIMEOUT,300.0
mc91_any,kind,smtinterpol,TIMEOUT,300.0
mc91_any,pdr,msat,TIMEOUT,300.0
mc91_any,pdr,z3,TIMEOUT,300.0
mc91_n87,bmc,msat,TIMEOUT,300.0
mc91_n87,ic3ia,msat,UNKNOWN,7.2
mc91_n87,ic3ia,smtinterpol,ERROR,0.4
mc91_n87,ic3,msat,ERROR,0.5
mc91_n87,ic3,z3,ERROR,0.5
mc91_n87,imc,msat,UNKNOWN,0.5
mc91_n87,imc,smtinterpol,UNKNOWN,73.4
mc91_n87,ismc,smtinterpol,UNKNOWN,51.4
mc91_n87,kind,msat,TIMEOUT,300.0
mc91_n87,kind,smtinterpol,TIMEOUT,300.0
mc91_n87,pdr,msat,TIMEOUT,300.0
mc91_n87,pdr,z3,TIMEOUT,300.0
sum_linear,bmc,msat,TIMEOUT,300.0
sum_linear,ic3ia,msat,UNREACHABLE,0.5
sum_linear,ic3,msat,ERROR,0.5
sum_linear,ic3,z3,ERROR,0.5
sum_linear,imc,msat,UNREACHABLE,0.5
sum_linear,kind,msat,UNREACHABLE,0.5
sum_linear,pdr,msat,TIMEOUT,300.0
sum_linear,pdr,z3,TIMEOUT,300.0
