task,alg,solver,status,cpu_s
sum_linear,imc,msat,UNREACHABLE,0.5
sum_linear,kind,msat,UNREACHABLE,0.5
sum_linear,ic3ia,msat,UNREACHABLE,0.5
fib_n5_eq5,imc,msat,UNKNOWN,0.5
fib_n5_eq5,ic3ia,msat,UNKNOWN,4.4
fib_n5_eq6,imc,msat,UNKNOWN,0.5
fib_n5_eq6,ic3ia,msat,UNKNOWN,4.6
fib_n5_eq5,bmc,msat,REACHABLE,28.1
fib_n5_eq5,kind,msat,REACHABLE,238.3
fib_nonneg,imc,msat,UNKNOWN,0.5
fib_nonneg,ic3ia,msat,UNKNOWN,0.6
sum_linear,bmc,msat,TIMEOUT,300.0
fib_n5_eq6,bmc,msat,TIMEOUT,300.0
fib_n5_eq6,kind,msat,TIMEOUT,300.0
mc91_n87,imc,msat,UNKNOWN,0.5
mc91_n87,ic3ia,msat,UNKNOWN,7.2
fib_nonneg,bmc,msat,TIMEOUT,300.0
mc91_any,imc,msat,UNKNOWN,0.5
fib_nonneg,kind,msat,TIMEOUT,300.0
mc91_any,ic3ia,msat,UNKNOWN,55.0
mc91_n87,bmc,msat,TIMEOUT,300.0
mc91_n87,kind,msat,TIMEOUT,300.0
mc91_any,bmc,msat,TIMEOUT,300.0
mc91_any,kind,msat,TIMEOUT,300.0
