task,alg,solver,status,cpu_s
bvfib_n5_eq5,ic3ia,btor,ERROR,0.4
bvfib_n5_eq5,ic3ia,bitwuzla,ERROR,0.4
bvfib_n5_eq5,ic3,btor,ERROR,0.5
bvfib_n5_eq5,kind,btor,ERROR,0.5
bvfib_n5_eq5,bmc,btor,ERROR,0.5
bvfib_n5_eq6,bmc,btor,ERROR,0.5
bvfib_n5_eq6,kind,btor,ERROR,0.5
bvfib_n5_eq6,ic3,btor,ERROR,0.5
bvfib_n5_eq6,ic3ia,btor,ERROR,0.4
bvfib_n5_eq6,ic3ia,bitwuzla,ERROR,0.4
bvfib_nonneg,bmc,btor,ERROR,0.5
bvfib_nonneg,kind,btor,ERROR,0.5
bvfib_n5_eq5,bmc,bitwuzla,REACHABLE,18.9
bvfib_nonneg,ic3,btor,ERROR,0.5
bvfib_n5_eq5,kind,bitwuzla,TIMEOUT,300.0
bvfib_n5_eq5,ic3,bitwuzla,TIMEOUT,300.0
bvfib_nonneg,ic3ia,btor,ERROR,0.4
bvfib_nonneg,ic3ia,bitwuzla,ERROR,0.4
bvfib_n5_eq6,bmc,bitwuzla,TIMEOUT,300.0
bvfib_n5_eq6,kind,bitwuzla,TIMEOUT,300.0
bvfib_n5_eq6,ic3,bitwuzla,TIMEOUT,300.0
bvfib_nonneg,bmc,bitwuzla,TIMEOUT,300.0
bvfib_nonneg,kind,bitwuzla,TIMEOUT,300.0
bvfib_nonneg,ic3,bitwuzla,TIMEOUT,300.0
