task,alg,solver,status,cpu_s
bvfib_n5_eq5,imc,msat,UNKNOWN,1.0
bvfib_n5_eq5,bmc,bitwuzla,REACHABLE,21.2
bvfib_n5_eq6,ic3ia,msat,UNKNOWN,25.9
bvfib_n5_eq6,imc,msat,UNKNOWN,6.4
bvfib_n5_eq5,kind,bitwuzla,TIMEOUT,300.0
bvfib_n5_eq5,ic3ia,msat,TIMEOUT,300.0
bvfib_n5_eq5,ic3,msat,TIMEOUT,300.0
bvfib_n5_eq5,ic3,bitwuzla,TIMEOUT,300.0
bvfib_n5_eq6,bmc,bitwuzla,TIMEOUT,300.0
bvfib_n5_eq6,kind,bitwuzla,TIMEOUT,300.0
bvfib_n5_eq6,ic3,bitwuzla,TIMEOUT,300.0
bvfib_nonneg,imc,msat,UNKNOWN,4.3
bvfib_nonneg,ic3ia,msat,UNKNOWN,7.4
bvfib_n5_eq6,ic3,msat,TIMEOUT,300.0
bvfib_nonneg,bmc,bitwuzla,TIMEOUT,300.0
bvfib_nonneg,kind,bitwuzla,TIMEOUT,300.0
bvfib_nonneg,ic3,bitwuzla,TIMEOUT,300.0
bvfib_nonneg,ic3,msat,TIMEOUT,300.0
