task,alg,solver,status,cpu_s
dfib_d8_eq5,bmc,msat,REACHABLE,1.2
dfib_eq5_d16,bmc,msat,REACHABLE,1.8
dfib_eq5_d4,bmc,msat,REACHABLE,0.9
dfib_d8_eq5,ismc,msat,REACHABLE,103.1
dfib_eq5_d16,ismc,msat,REACHABLE,108.3
dfib_eq5_d4,ic3ia,msat,ERROR,93.4
dfib_eq5_d8,bmc,msat,REACHABLE,1.2
dfib_eq5_d4,ismc,msat,REACHABLE,120.0
dfib_d8_eq5,ic3ia,msat,ERROR,232.4
dfib_eq5_d4,imc,msat,REACHABLE,232.0
dfib_d8_eq5,imc,msat,REACHABLE,287.1
dfib_d8_eq5,kind,msat,TIMEOUT,300.0
dfib_eq5_d16,imc,msat,TIMEOUT,300.0
dfib_eq5_d16,kind,msat,TIMEOUT,300.0
dfib_eq5_d16,ic3ia,msat,TIMEOUT,300.0
dfib_eq5_d4,kind,msat,TIMEOUT,300.0
dfib_eq5_d8,ismc,msat,REACHABLE,102.7
dfib_eq5_d8,ic3ia,msat,ERROR,237.9
dfib_eq6_d16,ismc,msat,UNREACHABLE,175.4
dfib_eq5_d8,imc,msat,REACHABLE,275.6
dfib_eq5_d8,kind,msat,TIMEOUT,300.0
dfib_eq6_d16,bmc,msat,TIMEOUT,300.0
dfib_eq6_d16,kind,msat,TIMEOUT,300.0
dfib_eq6_d16,imc,msat,TIMEOUT,300.0
dfib_eq6_d16,ic3ia,msat,TIMEOUT,300.0
dfib_eq6_d4,bmc,msat,TIMEOUT,300.0
dfib_eq6_d4,kind,msat,TIMEOUT,300.0
dfib_eq6_d4,ismc,msat,UNREACHABLE,170.4
dfib_eq6_d8,ismc,msat,UNREACHABLE,163.5
dfib_eq6_d4,imc,msat,TIMEOUT,300.0
dfib_eq6_d4,ic3ia,msat,TIMEOUT,300.0
dfib_eq6_d8,bmc,msat,TIMEOUT,300.0
dfib_eq6_d8,kind,msat,TIMEOUT,300.0
dfib_eq6_d8,imc,msat,TIMEOUT,300.0
dfib_eq6_d8,ic3ia,msat,TIMEOUT,300.0
dfib_nonneg_d4,ic3ia,msat,UNKNOWN,0.6
dfib_nonneg_d16,bmc,msat,TIMEOUT,300.0
dfib_nonneg_d16,kind,msat,TIMEOUT,300.0
dfib_nonneg_d16,imc,msat,TIMEOUT,300.0
dfib_nonneg_d16,ismc,msat,TIMEOUT,300.0
dfib_nonneg_d8,ic3ia,msat,UNKNOWN,0.8
dfib_nonneg_d16,ic3ia,msat,TIMEOUT,300.0
dfib_nonneg_d4,bmc,msat,TIMEOUT,300.0
dfib_nonneg_d4,kind,msat,TIMEOUT,300.0
dfib_nonneg_d4,imc,msat,TIMEOUT,300.0
dfib_nonneg_d4,ismc,msat,TIMEOUT,300.0
dfib_nonneg_d8,bmc,msat,TIMEOUT,300.0
dfib_nonneg_d8,kind,msat,TIMEOUT,300.0
dfib_nonneg_d8,imc,msat,TIMEOUT,300.0
dfib_nonneg_d8,ismc,msat,TIMEOUT,300.0
dmc91_is91_d4,ic3ia,msat,UNREACHABLE,31.8
dmc91_is91_d16,bmc,msat,TIMEOUT,300.0
dmc91_is91_d16,kind,msat,TIMEOUT,300.0
dmc91_is91_d16,imc,msat,TIMEOUT,300.0
dmc91_is91_d16,ismc,msat,TIMEOUT,300.0
dmc91_is91_d16,ic3ia,msat,TIMEOUT,300.0
dmc91_is91_d4,bmc,msat,TIMEOUT,300.0
dmc91_is91_d4,kind,msat,TIMEOUT,300.0
dmc91_is91_d4,imc,msat,TIMEOUT,300.0
dmc91_is91_d4,ismc,msat,TIMEOUT,300.0
dmc91_is91_d8,bmc,msat,TIMEOUT,300.0
dmc91_is91_d8,kind,msat,TIMEOUT,300.0
dmc91_is91_d8,imc,msat,TIMEOUT,300.0
dmc91_is91_d8,ismc,msat,TIMEOUT,300.0
dmc91_is91_d8,ic3ia,msat,TIMEOUT,300.0
dmc91_n87_d4,ismc,msat,UNREACHABLE,69.2
dmc91_n87_d16,bmc,msat,TIMEOUT,300.0
dmc91_n87_d16,kind,msat,TIMEOUT,300.0
dmc91_n87_d16,imc,msat,TIMEOUT,300.0
dmc91_n87_d16,ismc,msat,TIMEOUT,300.0
dmc91_n87_d16,ic3ia,msat,TIMEOUT,300.0
dmc91_n87_d4,bmc,msat,TIMEOUT,300.0
dmc91_n87_d4,ic3ia,msat,UNREACHABLE,215.4
dmc91_n87_d4,kind,msat,TIMEOUT,300.0
dmc91_n87_d4,imc,msat,TIMEOUT,300.0
dmc91_n87_d8,bmc,msat,TIMEOUT,300.0
dmc91_n87_d8,kind,msat,TIMEOUT,300.0
dmc91_n87_d8,imc,msat,TIMEOUT,300.0
dmc91_n87_d8,ismc,msat,TIMEOUT,300.0
dmc91_n87_d8,ic3ia,msat,TIMEOUT,300.0
