task,alg,solver,status,cpu_s
sum_linear,ic3,msat,ERROR,0.5
fib_n5_eq5,ic3,msat,ERROR,0.5
fib_n5_eq5,ic3,z3,ERROR,0.5
sum_linear,ic3,z3,ERROR,0.5
fib_n5_eq6,ic3,z3,ERROR,0.5
fib_n5_eq6,ic3,msat,ERROR,0.4
fib_nonneg,ic3,z3,ERROR,0.5
fib_nonneg,ic3,msat,ERROR,0.5
sum_linear,pdr,msat,TIMEOUT,300.0
sum_linear,pdr,z3,TIMEOUT,300.0
fib_n5_eq5,pdr,msat,TIMEOUT,300.0
fib_n5_eq5,pdr,z3,TIMEOUT,300.0
mc91_n87,ic3,msat,ERROR,0.5
mc91_n87,ic3,z3,ERROR,0.5
fib_n5_eq6,pdr,z3,TIMEOUT,300.0
fib_n5_eq6,pdr,msat,TIMEOUT,300.0
mc91_any,ic3,msat,ERROR,0.4
mc91_any,ic3,z3,ERROR,0.4
fib_nonneg,pdr,z3,TIMEOUT,300.0
fib_nonneg,pdr,msat,TIMEOUT,300.0
mc91_n87,pdr,z3,TIMEOUT,300.0
mc91_n87,pdr,msat,TIMEOUT,300.0
mc91_any,pdr,z3,TIMEOUT,300.0
mc91_any,pdr,msat,TIMEOUT,300.0
