task,alg,solver,status,cpu_s
xfib_ovf_d8_r0to8,ic3ia,msat,UNKNOWN,11.9
xfib_ovf_d16_r0to16,bmc,msat,TIMEOUT,300.0
xfib_ovf_d16_r0to16,imc,msat,TIMEOUT,300.0
xfib_ovf_d16_r0to16,kind,msat,TIMEOUT,300.0
xfib_ovf_d16_r0to16,ismc,msat,TIMEOUT,300.0
xfib_ovf_d8_r0to8,kind,msat,TIMEOUT,300.0
xfib_ovf_d16_r0to16,ic3ia,msat,TIMEOUT,300.0
xfib_ovf_d8_r0to8,bmc,msat,TIMEOUT,300.0
xfib_ovf_d8_r0to8,ismc,msat,TIMEOUT,300.0
xfib_ovf_d8_r0to8,imc,msat,TIMEOUT,300.0
xfib_safe_d16_r0to16,bmc,msat,TIMEOUT,300.0
xfib_safe_d16_r0to16,kind,msat,TIMEOUT,300.0
xfib_safe_d16_r0to16,ismc,msat,TIMEOUT,300.0
xfib_safe_d16_r0to16,imc,msat,TIMEOUT,300.0
xfib_safe_d16_r0to16,ic3ia,msat,TIMEOUT,300.0
xfib_safe_d8_r0to8,bmc,msat,TIMEOUT,300.0
xfib_safe_d8_r0to8,kind,msat,TIMEOUT,300.0
xfib_safe_d8_r0to8,ismc,msat,TIMEOUT,300.0
xfib_safe_d8_r0to8,imc,msat,TIMEOUT,300.0
xfib_safe_d8_r0to8,ic3ia,msat,TIMEOUT,300.0
xmc91_ovf_d24_r0to101,bmc,msat,TIMEOUT,300.0
xmc91_ovf_d32_r0to101,ic3ia,msat,UNKNOWN,74.5
xmc91_ovf_d24_r0to101,ic3ia,msat,UNKNOWN,114.5
xmc91_ovf_d24_r0to101,kind,msat,TIMEOUT,300.0
xmc91_ovf_d24_r0to101,imc,msat,TIMEOUT,300.0
xmc91_ovf_d24_r0to101,ismc,msat,TIMEOUT,300.0
xmc91_ovf_d32_r0to101,bmc,msat,TIMEOUT,300.0
xmc91_ovf_d32_r0to101,kind,msat,TIMEOUT,300.0
xmc91_ovf_d32_r0to101,ismc,msat,TIMEOUT,300.0
xmc91_ovf_d32_r0to101,imc,msat,TIMEOUT,300.0
xmc91_safe_d24_r0to101,bmc,msat,TIMEOUT,300.0
xmc91_safe_d24_r0to101,kind,msat,TIMEOUT,300.0
xmc91_safe_d24_r0to101,imc,msat,TIMEOUT,300.0
xmc91_safe_d24_r0to101,ismc,msat,TIMEOUT,300.0
xmc91_safe_d24_r0to101,ic3ia,msat,TIMEOUT,300.0
xmc91_safe_d32_r0to101,bmc,msat,TIMEOUT,300.0
xmc91_safe_d32_r0to101,kind,msat,TIMEOUT,300.0
xmc91_safe_d32_r0to101,imc,msat,TIMEOUT,300.0
xmc91_safe_d32_r0to101,ismc,msat,TIMEOUT,300.0
xmc91_safe_d32_r0to101,ic3ia,msat,TIMEOUT,300.0
