task,alg,solver,status,cpu_s
fib_n5_eq6,ic3ia,smtinterpol,ERROR,0.4
fib_nonneg,ic3ia,smtinterpol,ERROR,0.4
fib_n5_eq6,ismc,smtinterpol,UNKNOWN,37.6
fib_n5_eq6,imc,smtinterpol,UNKNOWN,66.6
fib_nonneg,ismc,smtinterpol,UNKNOWN,85.0
mc91_n87,ic3ia,smtinterpol,ERROR,0.4
mc91_n87,imc,smtinterpol,UNKNOWN,73.4
mc91_n87,ismc,smtinterpol,UNKNOWN,51.4
mc91_any,ismc,smtinterpol,UNKNOWN,106.6
mc91_any,ic3ia,smtinterpol,ERROR,0.4
fib_n5_eq6,kind,smtinterpol,TIMEOUT,300.0
fib_nonneg,imc,smtinterpol,TIMEOUT,300.0
fib_nonneg,kind,smtinterpol,TIMEOUT,300.0
mc91_n87,kind,smtinterpol,TIMEOUT,300.0
mc91_any,imc,smtinterpol,TIMEOUT,300.0
mc91_any,kind,smtinterpol,TIMEOUT,300.0
